start,end,duration_hours,duration_minutes
2019-09-28 23:45:00,2019-09-29 00:25:00,0.6666666666666666,40.0
2019-09-29 00:30:00,2019-09-29 02:55:00,2.4166666666666665,145.0
2019-09-29 03:00:00,2019-09-29 03:35:00,0.5833333333333334,35.0
2019-09-29 03:40:00,2019-09-29 04:10:00,0.5,30.0
2019-09-29 04:20:00,2019-09-29 07:40:00,3.3333333333333335,200.0
2019-09-29 08:15:00,2019-09-29 10:20:00,2.0833333333333335,125.0
2019-09-29 10:45:00,2019-09-29 11:15:00,0.5,30.0
2019-09-29 11:20:00,2019-09-29 11:55:00,0.5833333333333334,35.0
2019-09-29 12:20:00,2019-09-30 14:45:00,26.416666666666668,1585.0
2019-09-30 14:50:00,2019-09-30 15:35:00,0.75,45.0
2019-09-30 15:40:00,2019-10-01 15:45:00,24.083333333333332,1445.0
2019-10-01 15:50:00,2019-10-03 13:00:00,45.166666666666664,2710.0
2019-10-03 13:10:00,2019-10-03 23:45:00,10.583333333333334,635.0
2019-10-04 00:15:00,2019-10-04 00:45:00,0.5,30.0
2019-10-04 00:50:00,2019-10-04 01:20:00,0.5,30.0
2019-10-04 02:05:00,2019-10-04 02:45:00,0.6666666666666666,40.0
2019-10-04 03:00:00,2019-10-04 12:20:00,9.333333333333334,560.0
2019-10-04 12:45:00,2019-10-04 14:35:00,1.8333333333333333,110.0
2019-10-04 14:40:00,2019-10-04 20:50:00,6.166666666666667,370.0
2019-10-04 20:55:00,2019-10-05 01:50:00,4.916666666666667,295.0
2019-10-05 01:55:00,2019-10-05 02:40:00,0.75,45.0
2019-10-05 02:55:00,2019-10-05 04:15:00,1.3333333333333333,80.0
2019-10-05 04:20:00,2019-10-05 06:50:00,2.5,150.0
2019-10-05 06:55:00,2019-10-05 07:40:00,0.75,45.0
2019-10-05 07:45:00,2019-10-05 09:50:00,2.0833333333333335,125.0
2019-10-05 09:55:00,2019-10-08 18:35:00,80.66666666666667,4840.0
2019-10-08 18:40:00,2019-10-13 14:30:00,115.83333333333333,6950.0
2019-10-13 14:45:00,2019-10-13 19:35:00,4.833333333333333,290.0
2019-10-13 19:40:00,2019-10-13 22:50:00,3.1666666666666665,190.0
2019-10-14 01:35:00,2019-10-14 19:05:00,17.5,1050.0
2019-10-14 19:10:00,2019-10-15 06:15:00,11.083333333333334,665.0
2019-10-15 06:25:00,2019-10-16 03:10:00,20.75,1245.0
2019-10-16 03:15:00,2019-10-17 12:20:00,33.083333333333336,1985.0
2019-10-17 12:35:00,2019-10-17 13:55:00,1.3333333333333333,80.0
2019-10-17 14:00:00,2019-10-17 16:05:00,2.0833333333333335,125.0
2019-10-17 16:30:00,2019-10-17 17:05:00,0.5833333333333334,35.0
2019-10-17 17:35:00,2019-10-17 18:05:00,0.5,30.0
2019-10-17 18:40:00,2019-10-17 19:30:00,0.8333333333333334,50.0
2019-10-17 19:50:00,2019-10-17 21:00:00,1.1666666666666667,70.0
2019-10-17 21:25:00,2019-10-17 22:40:00,1.25,75.0
2019-10-17 22:45:00,2019-10-17 23:20:00,0.5833333333333334,35.0
2019-10-17 23:30:00,2019-10-18 03:15:00,3.75,225.0
2019-10-18 03:20:00,2019-10-18 09:00:00,5.666666666666667,340.0
2019-10-18 13:05:00,2019-10-18 13:35:00,0.5,30.0
2019-10-18 13:40:00,2019-10-18 14:40:00,1.0,60.0
2019-10-18 14:45:00,2019-10-18 17:00:00,2.25,135.0
2019-10-18 17:55:00,2019-10-18 18:35:00,0.6666666666666666,40.0
2019-10-18 19:25:00,2019-10-18 20:50:00,1.4166666666666667,85.0
2019-10-18 20:55:00,2019-10-18 21:25:00,0.5,30.0
2019-10-18 21:30:00,2019-10-18 22:25:00,0.9166666666666666,55.0
2019-10-18 22:30:00,2019-10-18 23:25:00,0.9166666666666666,55.0
2019-10-18 23:40:00,2019-10-19 01:50:00,2.1666666666666665,130.0
2019-10-19 02:05:00,2019-10-19 02:35:00,0.5,30.0
2019-10-19 02:40:00,2019-10-19 03:15:00,0.5833333333333334,35.0
2019-10-19 04:45:00,2019-10-19 05:30:00,0.75,45.0
2019-10-19 05:40:00,2019-10-19 06:40:00,1.0,60.0
2019-10-19 07:15:00,2019-10-19 08:50:00,1.5833333333333333,95.0
2019-10-19 09:25:00,2019-10-19 14:50:00,5.416666666666667,325.0
2019-10-19 15:45:00,2019-10-19 17:55:00,2.1666666666666665,130.0
2019-10-19 18:10:00,2019-10-19 18:45:00,0.5833333333333334,35.0
2019-10-19 18:50:00,2019-10-19 21:25:00,2.5833333333333335,155.0
2019-10-19 21:30:00,2019-10-20 05:10:00,7.666666666666667,460.0
2019-10-20 05:15:00,2019-10-20 06:40:00,1.4166666666666667,85.0
2019-10-20 06:45:00,2019-10-20 11:25:00,4.666666666666667,280.0
2019-10-20 11:30:00,2019-10-20 14:20:00,2.8333333333333335,170.0
2019-10-20 14:25:00,2019-10-20 15:45:00,1.3333333333333333,80.0
2019-10-20 15:50:00,2019-10-20 17:30:00,1.6666666666666667,100.0
2019-10-20 17:35:00,2019-10-20 18:45:00,1.1666666666666667,70.0
2019-10-20 18:50:00,2019-10-20 19:25:00,0.5833333333333334,35.0
2019-10-20 20:25:00,2019-10-20 20:55:00,0.5,30.0
2019-10-20 21:00:00,2019-10-20 21:35:00,0.5833333333333334,35.0
2019-10-20 21:50:00,2019-10-21 12:30:00,14.666666666666666,880.0
2019-10-21 12:35:00,2019-10-21 14:10:00,1.5833333333333333,95.0
2019-10-21 14:15:00,2019-10-21 19:40:00,5.416666666666667,325.0
2019-10-21 19:45:00,2019-10-22 00:00:00,4.25,255.0
2019-10-22 00:05:00,2019-10-22 03:35:00,3.5,210.0
2019-10-22 03:40:00,2019-10-22 04:40:00,1.0,60.0
2019-10-22 04:45:00,2019-10-22 11:35:00,6.833333333333333,410.0
2019-10-22 11:45:00,2019-10-22 12:20:00,0.5833333333333334,35.0
2019-10-22 12:25:00,2019-10-22 13:35:00,1.1666666666666667,70.0
2019-10-22 13:40:00,2019-10-23 01:15:00,11.583333333333334,695.0
2019-10-23 01:20:00,2019-10-23 10:45:00,9.416666666666666,565.0
2019-10-23 10:50:00,2019-10-24 06:55:00,20.083333333333332,1205.0
2019-10-24 07:40:00,2019-10-24 09:10:00,1.5,90.0
2019-12-02 22:40:00,2019-12-05 14:15:00,63.583333333333336,3815.0
2019-12-05 14:20:00,2019-12-06 18:40:00,28.333333333333332,1700.0
2019-12-06 18:45:00,2019-12-07 12:05:00,17.333333333333332,1040.0
2019-12-07 12:20:00,2019-12-11 22:25:00,106.08333333333333,6365.0
2019-12-11 22:35:00,2019-12-13 09:30:00,34.916666666666664,2095.0
2019-12-13 09:35:00,2019-12-14 03:00:00,17.416666666666668,1045.0
2019-12-14 03:05:00,2019-12-20 11:35:00,152.5,9150.0
2019-12-20 11:40:00,2019-12-20 12:15:00,0.5833333333333334,35.0
2019-12-20 12:20:00,2019-12-23 17:15:00,76.91666666666667,4615.0
2019-12-23 18:25:00,2019-12-23 20:35:00,2.1666666666666665,130.0
2020-03-26 02:50:00,2020-03-26 15:40:00,12.833333333333334,770.0
2020-03-26 15:45:00,2020-03-26 17:20:00,1.5833333333333333,95.0
2020-03-26 17:25:00,2020-03-26 18:35:00,1.1666666666666667,70.0
2020-03-26 18:40:00,2020-03-28 12:50:00,42.166666666666664,2530.0
2020-03-28 12:55:00,2020-03-29 13:50:00,24.916666666666668,1495.0
2020-03-29 14:15:00,2020-03-29 20:55:00,6.666666666666667,400.0
2020-03-29 21:00:00,2020-03-29 22:25:00,1.4166666666666667,85.0
2020-03-29 22:30:00,2020-03-30 03:45:00,5.25,315.0
2020-03-30 04:20:00,2020-03-30 14:40:00,10.333333333333334,620.0
2020-03-30 14:45:00,2020-03-31 00:45:00,10.0,600.0
2020-03-31 00:50:00,2020-03-31 02:40:00,1.8333333333333333,110.0
2020-03-31 02:45:00,2020-03-31 04:55:00,2.1666666666666665,130.0
2020-03-31 05:00:00,2020-03-31 05:45:00,0.75,45.0
2020-03-31 05:55:00,2020-03-31 14:10:00,8.25,495.0
2020-03-31 14:15:00,2020-03-31 17:00:00,2.75,165.0
2020-03-31 17:05:00,2020-03-31 17:40:00,0.5833333333333334,35.0
2020-03-31 17:55:00,2020-04-01 04:05:00,10.166666666666666,610.0
2020-04-01 04:10:00,2020-04-01 06:10:00,2.0,120.0
2020-04-01 06:15:00,2020-04-02 04:35:00,22.333333333333332,1340.0
2020-04-02 05:10:00,2020-04-02 05:50:00,0.6666666666666666,40.0
2020-04-02 05:55:00,2020-04-02 06:35:00,0.6666666666666666,40.0
2020-04-02 08:35:00,2020-04-02 09:45:00,1.1666666666666667,70.0
2020-04-02 10:05:00,2020-04-02 11:30:00,1.4166666666666667,85.0
2020-04-02 11:35:00,2020-04-02 12:35:00,1.0,60.0
2020-04-02 12:40:00,2020-04-03 05:10:00,16.5,990.0
2020-04-03 05:45:00,2020-04-03 06:20:00,0.5833333333333334,35.0
2020-04-03 06:25:00,2020-04-03 07:00:00,0.5833333333333334,35.0
2020-04-03 07:05:00,2020-04-03 07:45:00,0.6666666666666666,40.0
2020-04-03 07:50:00,2020-04-03 12:10:00,4.333333333333333,260.0
2020-04-03 12:15:00,2020-04-03 13:30:00,1.25,75.0
2020-04-03 13:35:00,2020-04-03 14:10:00,0.5833333333333334,35.0
2020-04-03 14:15:00,2020-04-03 14:55:00,0.6666666666666666,40.0
2020-04-03 15:00:00,2020-04-04 23:40:00,32.666666666666664,1960.0
2020-04-04 23:55:00,2020-04-05 06:45:00,6.833333333333333,410.0
2020-04-05 06:50:00,2020-04-05 09:25:00,2.5833333333333335,155.0
2020-04-05 09:55:00,2020-04-05 12:05:00,2.1666666666666665,130.0
2020-04-05 12:10:00,2020-04-05 13:25:00,1.25,75.0
2020-04-05 13:30:00,2020-04-05 15:35:00,2.0833333333333335,125.0
2020-04-05 15:40:00,2020-04-06 11:35:00,19.916666666666668,1195.0
2020-04-06 12:10:00,2020-04-06 15:00:00,2.8333333333333335,170.0
2020-04-06 15:30:00,2020-04-06 16:05:00,0.5833333333333334,35.0
2020-04-06 16:10:00,2020-04-06 17:05:00,0.9166666666666666,55.0
2020-04-06 17:20:00,2020-04-06 19:40:00,2.3333333333333335,140.0
2020-04-06 20:00:00,2020-04-06 20:55:00,0.9166666666666666,55.0
2020-04-06 21:15:00,2020-04-06 22:35:00,1.3333333333333333,80.0
2020-04-06 22:40:00,2020-04-07 00:30:00,1.8333333333333333,110.0
2020-04-07 00:40:00,2020-04-07 01:25:00,0.75,45.0
2020-04-07 01:30:00,2020-04-07 14:20:00,12.833333333333334,770.0
2020-04-07 14:25:00,2020-04-07 15:50:00,1.4166666666666667,85.0
2020-04-07 16:25:00,2020-04-07 17:50:00,1.4166666666666667,85.0
2020-04-07 17:55:00,2020-04-07 21:50:00,3.9166666666666665,235.0
2020-04-07 22:25:00,2020-04-08 10:45:00,12.333333333333334,740.0
2020-04-08 10:50:00,2020-04-08 14:00:00,3.1666666666666665,190.0
2020-04-08 14:15:00,2020-04-08 16:25:00,2.1666666666666665,130.0
2020-04-08 17:00:00,2020-04-08 17:55:00,0.9166666666666666,55.0
2020-04-08 18:05:00,2020-04-09 13:00:00,18.916666666666668,1135.0
2020-04-09 13:05:00,2020-04-09 13:35:00,0.5,30.0
2020-04-09 15:15:00,2020-04-10 03:00:00,11.75,705.0
2020-04-10 03:30:00,2020-04-10 11:40:00,8.166666666666666,490.0
2020-04-10 11:45:00,2020-04-10 15:30:00,3.75,225.0
2020-04-10 15:35:00,2020-04-10 16:40:00,1.0833333333333333,65.0
2020-04-10 16:45:00,2020-04-10 19:35:00,2.8333333333333335,170.0
2020-04-10 19:40:00,2020-04-10 20:20:00,0.6666666666666666,40.0
2020-04-10 20:25:00,2020-04-11 02:20:00,5.916666666666667,355.0
2020-04-11 02:30:00,2020-04-11 13:35:00,11.083333333333334,665.0
2020-04-11 13:40:00,2020-04-11 22:40:00,9.0,540.0
2020-04-11 22:45:00,2020-04-12 01:50:00,3.0833333333333335,185.0
2020-04-12 01:55:00,2020-04-12 15:30:00,13.583333333333334,815.0
2020-04-12 16:25:00,2020-04-12 17:25:00,1.0,60.0
2020-04-12 17:30:00,2020-04-12 18:00:00,0.5,30.0
2020-04-12 18:35:00,2020-04-12 23:20:00,4.75,285.0
2020-04-12 23:25:00,2020-04-13 05:20:00,5.916666666666667,355.0
2020-04-13 05:25:00,2020-04-13 14:15:00,8.833333333333334,530.0
2020-04-13 14:20:00,2020-04-13 15:00:00,0.6666666666666666,40.0
2020-04-13 15:35:00,2020-04-13 18:10:00,2.5833333333333335,155.0
2020-04-13 18:15:00,2020-04-14 10:30:00,16.25,975.0
2020-04-14 10:40:00,2020-04-14 13:10:00,2.5,150.0
2020-04-14 13:15:00,2020-04-16 16:10:00,50.916666666666664,3055.0
2020-04-16 16:15:00,2020-04-16 20:45:00,4.5,270.0
2020-04-16 20:50:00,2020-04-17 12:55:00,16.083333333333332,965.0
2020-04-17 13:10:00,2020-04-17 14:55:00,1.75,105.0
2020-04-17 15:00:00,2020-04-17 16:15:00,1.25,75.0
2020-04-17 16:40:00,2020-04-17 17:15:00,0.5833333333333334,35.0
2020-04-17 17:20:00,2020-04-17 22:20:00,5.0,300.0
2020-04-17 22:25:00,2020-04-18 15:55:00,17.5,1050.0
2020-04-18 16:00:00,2020-04-19 11:25:00,19.416666666666668,1165.0
2020-04-19 11:40:00,2020-04-19 14:35:00,2.9166666666666665,175.0
2020-04-19 14:40:00,2020-04-19 17:40:00,3.0,180.0
2020-04-19 17:45:00,2020-04-23 17:35:00,95.83333333333333,5750.0
2020-04-23 17:40:00,2020-04-23 18:15:00,0.5833333333333334,35.0
2020-04-23 18:20:00,2020-04-23 21:15:00,2.9166666666666665,175.0
2020-04-23 21:20:00,2020-04-24 00:10:00,2.8333333333333335,170.0
2020-04-24 00:15:00,2020-04-24 11:40:00,11.416666666666666,685.0
2020-04-24 11:45:00,2020-04-24 13:25:00,1.6666666666666667,100.0
2020-04-24 13:50:00,2020-04-24 15:45:00,1.9166666666666667,115.0
2020-04-24 15:50:00,2020-04-25 23:35:00,31.75,1905.0
2020-04-26 00:00:00,2020-04-26 06:10:00,6.166666666666667,370.0
2020-04-26 06:15:00,2020-04-26 08:10:00,1.9166666666666667,115.0
2020-04-26 08:15:00,2020-04-26 15:55:00,7.666666666666667,460.0
2020-04-26 16:00:00,2020-04-27 02:05:00,10.083333333333334,605.0
2020-04-27 02:10:00,2020-04-28 11:00:00,32.833333333333336,1970.0
2020-04-28 11:20:00,2020-04-28 13:35:00,2.25,135.0
2020-04-28 13:40:00,2020-04-29 00:20:00,10.666666666666666,640.0
2020-04-29 00:25:00,2020-04-29 03:05:00,2.6666666666666665,160.0
2020-04-29 03:10:00,2020-04-29 04:45:00,1.5833333333333333,95.0
2020-04-29 04:50:00,2020-04-29 07:10:00,2.3333333333333335,140.0
2020-04-29 07:15:00,2020-04-29 13:20:00,6.083333333333333,365.0
2020-04-29 13:25:00,2020-04-29 16:00:00,2.5833333333333335,155.0
2020-04-29 16:35:00,2020-04-30 07:10:00,14.583333333333334,875.0
2020-04-30 07:20:00,2020-04-30 08:25:00,1.0833333333333333,65.0
2020-04-30 08:55:00,2020-04-30 12:05:00,3.1666666666666665,190.0
